Rank,Rank2,Team,Year,Total_Game,Win,Draw,Loss,GF,GA,GD,Total_Score
16,0.2,Thai Honda F.C.,2017,34,8,4,22,43,68,-25,28
17,0.1,Sisaket F.C.,2017,34,6,5,23,43,90,-47,23
18,0.1,Super Power Samutprakan F.C.,2017,34,1,3,30,31,128,-97,6
1,1.0,SCG MUANGTHONG UNITED,2016,31,26,2,3,73,24,49,80
2,0.9,Bangkok United F.C.,2016,31,23,6,2,71,36,35,75
3,0.9,BG Pathum United F.C.,2016,31,18,3,10,62,41,21,57
4,0.8,Buriram United F.C.,2016,30,15,10,5,55,38,17,55
5,0.8,Chonburi F.C.,2016,31,14,9,8,52,33,19,51
6,0.7,Ratchaburi Mitr Phol F.C.,2016,30,14,7,9,52,35,17,49
7,0.7,Sukhothai F.C.,2016,31,13,6,12,50,44,6,45
8,0.6,Chiangrai United F.C.,2016,31,13,6,12,42,43,-1,45
9,0.6,Police Tero F.C.,2016,30,12,5,13,42,52,-10,41
10,0.5,Suphanburi F.C.,2016,31,10,8,13,33,35,-2,38
11,0.4,Nakhon Ratchasima F.C.,2016,31,10,5,16,30,44,-14,35
12,0.4,Pattaya United,2016,31,9,7,15,46,66,-20,34
13,0.3,Sisaket F.C.,2016,31,8,9,14,41,52,-11,33
14,0.3,Royal Thai Navy F.C.,2016,31,7,10,14,24,40,-16,31
15,0.2,Osotsapa M-150 Samutprakan F.C.,2016,31,8,7,16,45,71,-26,31
16,0.2,Army United F.C.,2016,31,8,6,17,34,46,-12,30
17,0.1,Chainat Hornbill F.C.,2016,31,8,6,17,46,61,-15,30
18,0.1,BBCU F.C.,2016,30,3,4,23,32,69,-37,13
1,1.0,Buriram United F.C.,2015,34,25,9,0,98,24,74,84
2,0.9,SCG MUANGTHONG UNITED,2015,34,21,8,5,81,35,46,71
3,0.9,Suphanburi F.C.,2015,34,16,11,7,60,39,21,59
4,0.8,Chonburi F.C.,2015,34,15,12,7,62,44,18,57
5,0.8,Bangkok United F.C.,2015,34,16,9,9,59,47,12,57
6,0.7,BG Pathum United F.C.,2015,34,15,11,8,47,38,9,56
7,0.7,Ratchaburi Mitr Phol F.C.,2015,34,17,4,13,48,50,-2,55
8,0.6,Nakhon Ratchasima F.C.,2015,34,13,10,11,37,43,-6,49
9,0.6,Chiangrai United F.C.,2015,34,12,8,14,42,57,-15,44
10,0.5,Army United F.C.,2015,34,11,8,15,43,47,-4,41
11,0.4,Osotsapa M-150 Samutprakan F.C.,2015,34,10,9,15,40,54,-14,39
12,0.4,Chainat Hornbill F.C.,2015,34,9,10,15,42,53,-11,37
13,0.3,Sisaket F.C.,2015,34,9,9,16,30,47,-17,36
14,0.3,Saraburi F.C.,2015,34,8,11,15,41,56,-15,35
15,0.2,Royal Thai Navy F.C.,2015,34,10,5,19,42,65,-23,35
16,0.2,Police Tero F.C.,2015,34,7,14,13,42,51,-9,35
17,0.1,Port F.C.,2015,34,10,3,21,31,49,-18,33
18,0.1,TOT S.C.,2015,34,3,7,24,25,71,-46,16
1,1.0,Buriram United F.C.,2014,38,23,10,5,69,26,43,79
2,1.0,Chonburi F.C.,2014,38,21,13,4,62,33,29,76
3,0.9,Police Tero F.C.,2014,38,18,14,6,66,41,25,68
4,0.9,Ratchaburi Mitr Phol F.C.,2014,38,17,14,7,62,42,20,65
5,0.8,SCG MUANGTHONG UNITED,2014,38,20,11,7,66,36,30,62
6,0.8,Suphanburi F.C.,2014,38,17,8,13,55,49,6,59
7,0.7,Chiangrai United F.C.,2014,38,13,16,9,55,47,8,55
8,0.7,Bangkok United F.C.,2014,38,15,9,14,55,56,-1,54
9,0.6,Army United F.C.,2014,38,14,11,13,52,55,-3,53
10,0.6,BG Pathum United F.C.,2014,38,14,7,17,70,65,5,49
11,0.5,Osotsapa M-150 Saraburi F.C.,2014,38,11,15,12,53,49,4,48
12,0.5,Sisaket F.C.,2014,38,12,10,16,48,59,-11,46
13,0.4,Port F.C.,2014,38,15,9,14,44,52,-8,45
14,0.4,Chainat Hornbill F.C.,2014,38,10,14,14,43,50,-7,44
15,0.3,TOT S.C.,2014,38,10,13,15,38,51,13,43
16,0.3,Police United F.C.,2014,38,11,10,17,58,64,-6,43
17,0.2,PTT Rayong F.C.,2014,38,10,12,16,49,60,-11,42
18,0.2,Songkhla United F.C.,2014,38,8,8,22,39,72,-33,32
19,0.1,Air Force United F.C.,2014,38,6,12,20,35,63,-28,30
20,0.1,GSE Samutsongkhram F.C.,2014,38,5,4,29,32,81,-49,19

